graph,theta_mid,half_width,lo,hi
Quad-C5 (Rank 1),3.4678437501644988,2.368359819371335e-08,3.4678437264809006,3.467843773848097
Rank 2,3.4384471842525532,6.267355523448259e-10,3.4384471836258177,3.438447184879289
Wagner,3.4142136020686547,3.726598829523198e-08,3.4142135648026666,3.414213639334643
