rank,graph6,alpha,theta_scs,theta_clarabel,delta_scs,delta_clarabel,edges,pr_scs,pr_clarabel,dr_scs,dr_clarabel,solver_diff,status_scs,status_clarabel
31,G?bAVg,4,4.23606798,4.23606798,0.23606798,0.23606798,10,2.514164148453708e-14,1.5666569934893344e-11,2.615263898775311e-07,2.015701383584201e-09,7.906750809638652e-10,optimal,optimal
32,G?bAVw,4,4.23606798,4.23606798,0.23606798,0.23606798,11,1.2370233159168661e-15,2.4698720207712663e-12,1.566794978202779e-07,6.647322692288071e-10,8.067635448583133e-10,optimal,optimal
33,G?bAV{,4,4.23606798,4.23606797,0.23606798,0.23606797,12,3.6979656177325093e-13,2.318145675417327e-13,4.147088894512763e-09,4.294983924069129e-09,5.3890945039825056e-09,optimal,optimal
34,GCOfdo,3,3.23606798,3.236068,0.23606798,0.236068,11,4.440892098500626e-16,1.1636466416496825e-19,3.2034901664701465e-07,4.717716439728292e-09,1.8242159782744238e-08,optimal,optimal
35,GCQRDO,3,3.23606798,3.23606799,0.23606798,0.23606799,9,2.48093912065369e-14,5.711187281515043e-20,1.9365902881318675e-07,3.2994851295597982e-09,5.029239247278383e-09,optimal,optimal
36,GCQRDo,3,3.23606798,3.23606802,0.23606798,0.23606802,10,8.881784197001252e-16,6.212149596097089e-20,1.2228463587060645e-05,6.787946205122353e-09,3.733308240327915e-08,optimal,optimal
37,GCQ`eo,3,3.23606798,3.23606798,0.23606798,0.23606798,10,1.9753609824939873e-14,1.6275869541004795e-13,1.7601472603878676e-06,2.8428290832493985e-09,2.7861277729357425e-09,optimal,optimal
38,GCQ`fG,3,3.23606798,3.23606798,0.23606798,0.23606798,10,1.9199146210807507e-12,2.8736639666916667e-19,1.7828162475197473e-06,1.7591865741906076e-09,3.6143266157750986e-10,optimal,optimal
39,GCQ`fO,3,3.23606798,3.23606798,0.23606798,0.23606798,10,3.1537380470274595e-15,2.220446049250313e-16,9.498190594037226e-07,1.1139604794152547e-09,6.20379303484242e-11,optimal,optimal
40,GCQ`fW,3,3.23606798,3.23606798,0.23606798,0.23606798,11,9.34658764686599e-15,4.7435257958495535e-12,2.476020277697444e-09,8.276654916983262e-10,1.097444357611721e-09,optimal,optimal
41,GCQ`fo,3,3.23606798,3.23606798,0.23606798,0.23606798,11,2.220446049250313e-16,1.5020418934762553e-11,7.650362543909495e-06,1.3700565126839592e-09,1.1692891099812641e-09,optimal,optimal
42,GCQ`fw,3,3.23606798,3.23606798,0.23606798,0.23606798,12,1.158057020968405e-12,1.2006595892646616e-12,7.634562226854769e-08,1.4828374084174811e-09,1.0260992056032592e-10,optimal,optimal
43,GCQbQW,3,3.23606798,3.236068,0.23606798,0.236068,10,2.6645352591003757e-15,2.220446049250313e-16,2.896927258078108e-07,3.919816915498586e-09,2.0446919268835018e-08,optimal,optimal
44,GCQbQw,3,3.23606798,3.23606799,0.23606798,0.23606799,11,6.661338147750939e-16,2.220446049250313e-16,7.508902961639308e-07,3.740483478509304e-09,1.4140749016178233e-08,optimal,optimal
45,GCQbR_,3,3.23606798,3.23606798,0.23606798,0.23606798,10,7.993605777301127e-15,3.095556185911833e-19,1.4981452478579627e-07,3.0322944155614096e-10,2.1042700915074875e-09,optimal,optimal
46,GCQbRo,3,3.23606798,3.236068,0.23606798,0.236068,11,2.5507131655752416e-13,4.405040213155862e-19,1.8274012423269426e-06,3.004674287154785e-09,1.6697391913567117e-08,optimal,optimal
47,GCQbUW,3,3.23606798,3.23606801,0.23606798,0.23606801,11,1.0597829164880825e-12,1.1102230246251565e-16,2.7402404345622244e-08,4.8048467427008745e-09,2.575143742689079e-08,optimal,optimal
48,GCQbbc,3,3.23606798,3.23606799,0.23606798,0.23606799,11,5.450352473501475e-14,5.03919249724184e-20,8.12354927326453e-07,2.1478614442571597e-09,7.136346180658393e-09,optimal,optimal
49,GCQbbo,3,3.23606798,3.23606798,0.23606798,0.23606798,11,3.479378545908366e-14,1.2400696350368459e-19,1.0098362057675558e-07,1.6337664554555431e-09,1.745620092918898e-09,optimal,optimal
50,GCQbbs,3,3.23606798,3.23606799,0.23606798,0.23606799,12,4.440892098500626e-16,4.643975304042156e-11,1.951744432737712e-06,1.912622948907483e-09,7.263626589093519e-09,optimal,optimal
